rank	word	ipa
815	cámara	/ˈkamaɾa/
816	diario	/ˈdjaɾjo/
817	domingo	/doˈmiŋɡo/
818	empezar	/empeˈsaɾ/
819	entender	/entenˈdeɾ/
820	esté	/esˈte/
821	fuego	/fuˈeɣo/
822	fui	/ˈfui/
823	habrá	/aˈβɾa/
824	jóvenes	/ˈxoβenes/
825	perder	/peɾˈðeɾ/
826	políticas	/poˈlitikas/
827	pone	/ˈpone/
828	posición	/posisiˈon/
829	suficiente	/sufiˈsjente/
830	título	/ˈtitulo/
831	vive	/ˈbiβe/
832	actualmente	/aktualˈmente/
833	creer	/kɾeˈeɾ/
834	llamada	/ʝaˈmaða/
835	mamá	/maˈma/
836	participación	/paɾtisipasiˈon/
837	sangre	/ˈsaŋɡɾe/
838	toma	/ˈtoma/
839	violencia	/bjoˈlensja/
840	auto	/aˈuto/
841	brasil	/bɾaˈsil/
842	carta	/ˈkaɾta/
843	china	/tˈʃina/
844	ciudadanos	/sjuðaˈðanos/
845	cuál	/kuˈal/
846	facebook	/faseβoˈok/
847	leyes	/ˈleʝes/
848	principios	/pɾinˈsipjos/
849	probablemente	/pɾoβaβleˈmente/
850	rápido	/ˈrapiðo/
851	solamente	/solaˈmente/
852	área	/ˈaɾea/
853	aires	/aˈiɾes/
854	banda	/ˈbanda/
855	ciudades	/sjuˈðaðes/
856	clases	/ˈklases/
857	colegio	/koˈlexjo/
858	contenido	/konteˈniðo/
859	decisión	/desisiˈon/
860	encuentro	/enkuˈentɾo/
861	entrada	/enˈtɾaða/
862	fiesta	/ˈfjesta/
863	francia	/ˈfɾansja/
864	francisco	/fɾanˈsisko/
865	imposible	/impoˈsiβle/
866	medidas	/meˈðiðas/
867	pagar	/paˈɣaɾ/
868	pedro	/ˈpeðɾo/
869	permite	/peɾˈmite/
870	pp	/pp/
871	pudo	/ˈpuðo/
872	televisión	/teleβisiˈon/
873	unión	/uniˈon/
874	vía	/ˈbia/
875	abajo	/aˈβaxo/
876	atrás	/aˈtɾas/
877	capaz	/kaˈpas/
878	club	/kluβ/
879	comentarios	/komenˈtaɾjos/
880	darle	/ˈdaɾle/
881	di	/di/
882	error	/eˈroɾ/
883	gusto	/ˈɡusto/
884	hechos	/ˈetʃos/
885	mayores	/maˈʝoɾes/
886	normal	/noɾˈmal/
887	precios	/ˈpɾesjos/
888	proyectos	/pɾoˈʝektos/
889	redes	/ˈreðes/
890	sabemos	/saˈβemos/
891	sexo	/ˈsekso/
892	siete	/ˈsjete/
893	siguientes	/siɣiˈentes/
894	tambien	/ˈtambjen/
895	texto	/ˈteksto/
896	tiempos	/ˈtjempos/
897	análisis	/aˈnalisis/
898	apenas	/aˈpenas/
899	chica	/tˈʃika/
900	constitución	/konstitusiˈon/
901	contrario	/konˈtɾaɾjo/
902	cuentas	/kuˈentas/
